registration number,registration date,application number,application date,authors,authors count,right holders,contact to third parties,program name,creation year,registration publish date,registration publish number,actual,publication URL
970676,19971222,0000970681,19971205,"Лыков Александр Сергеевич (RU)
Айзенштадт Владимир Владимирович (RU)
Расторгуев Владимир Анатольевич (RU)
Плис Александр Иванович (RU)
Жданова Галина Васильевна (RU)
Михайлов Сергей Валерьевич (RU)",6,Акционерное общество «Технологическая Компания «Центр» (RU),,"<br/>Программа статистической обработки больших массивов однотипных форм для лотереи ""РУССКОЕ ЛОТО"" (""РЕАЛИЗАЦИЯ-1"")",,19980320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=970676
970677,19971222,0000970682,19971205,"Лыков Александр Сергеевич (RU)
Айзенштадт Владимир Владимирович (RU)
Расторгуев Владимир Анатольевич (RU)
Плис Александр Иванович (RU)
Смольников Валерий Борисович (RU)
Жданова Галина Васильевна (RU)
Михайлов Сергей Валерьевич (RU)",7,Акционерное общество «Технологическая Компания «Центр» (RU),,"<br/>Программа формирования структуры базы комбинаций лотерейных билетов для лотереи ""РУССКОЕ ЛОТО""",,19980320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=970677
970696,19971226,0000970575,19971028,"Тюхов Борис Петрович (RU)
Федосеева Татьяна Леонидовна (RU)
Ильиченкова Зоя Викторовна (RU)",3,Московский Государственный институт электроники и математики (технический университет) (МГИЭМ)  (RU),,Система для выбора средств моделирования виртуальной реальности,1997,19980320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=970696
980233,19980414,0000980198,19980407,Залогин Игорь Сергеевич  (RU),1,Акционерное общество «Технологическая Компания «Центр» (RU),,«Информационно-поисковая система «Русское лото»,,19980920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980233
980234,19980414,0000980199,19980407,Залогин Игорь Сергеевич (RU),1,Акционерное общество «Технологическая Компания «Центр» (RU),,"<br/>Регистрация и учет выплат выигрышей в региональных отделениях Дирекции лотереи ""Русское лото""",,19980920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980234
980235,19980414,0000980200,19980407,Залогин Игорь Сергеевич (RU),1,Акционерное общество «Технологическая Компания «Центр» (RU),,"<br/>""Проверка выплат выигрышей по билетам ""Русское лото"" в региональных отделениях Дирекции лотереи""",,19980920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980235
980236,19980414,0000980201,19980407,Залогин Игорь Сергеевич (RU),1,Акционерное общество «Технологическая Компания «Центр» (RU),,"<br/>""Учет выплат выигрышей по билетам ""Русское лото""",,19980920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980236
980237,19980414,0000980202,19980407,Залогин Игорь Сергеевич (RU),1,Акционерное общество «Технологическая Компания «Центр» (RU),,"<br/>""Проверка выплат выигрышей по билетам ""Русское лото""",,19980920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980237
980289,19980512,0000980247,19980423,"Борзов Юрий Васильевич (RU)
Гершман Юрий Сергеевич (RU)
Константинов Геннадий Юрьевич (RU)
Моисеев Валентин Васильевич (RU)
Полякова Любовь Яковлевна (RU)
Махмуд Хасан Юнес (RU)",6,"Открытое акционерное общество «Программные, технические средства и системы» (RU)",,Комплекс автоматизированных систем управления авиационно-технической базой авиапредприятия (ПИ «Руслан»),,19980920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980289
980365,19980615,0000980216,19980414,"Зеленин Ю.В. (RU)
Зеленин С.В. (RU)
Масленников В.Г. (RU)
Есипчук А.Ю (RU)",4,Общество с ограниченной ответственностью «Научно-производственный центр «Парус» (RU),,«Комплексная система автоматизации финансово-хозяйственной деятельности страховой компании. Версия 6.03» (ПАРУС-Страхование 6.03),,19980920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980365
980473,19981012,0000980340,19980609,Валуева Любовь Николаевна  (RU),1,Акционерное общество Научно-технический центр «Модуль» (RU),нет,"""Английский для начинающих/English for beginners""",,19981220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980473
980557,19980918,0000980429,19980721,Никитин Борис Дмитриевич  (RU),1,Акционерное общество Научно-технический центр «Модуль» (RU),"273-31-97, Г.Н.Андрущак","""Программное обеспечение СамоТестирования"" (ПОСТ)",,19981220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980557
980601,19981012,0000980473,19980811,Челюбеев Алексей Анатольевич  (RU),1,Акционерное общество Научно-технический центр «Модуль» (RU),нет,Программное Обеспечение Процессора NM6403. Символьный отладчик командной строки,1988,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980601
980602,19981012,0000980474,19980811,Челюбеев Алексей Анатольевич  (RU),1,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Программное Обеспечение Процессора NM6403. Эмулятор процессора на уровне тактов.""",,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980602
980603,19981012,0000980475,19980811,Челюбеев Алексей Анатольевич  (RU),1,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Программное Обеспечение Процессора NM6403. Библиотека доступа к объектным файлам формата ELF.""",,19990120,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980603
980604,19981012,0000980476,19980811,Челюбеев Алексей Анатольевич  (RU),1,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Программное Обеспечение Процессора NM6403. Библиотека доступа к отладочной информации формата DWARF.""",,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980604
980605,19981012,0000980477,19980811,Челюбеев Алексей Анатольевич  (RU),1,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Программное Обеспечение Процессора NM6403. Библиотека загрузки и обмена."" ",,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980605
980606,19981012,0000980478,19980811,Челюбеев Алексей Анатольевич  (RU),1,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Программное Обеспечение Процессора NM6403. Дизассемблер/дампер ELF файлов.""",,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980606
980607,19981012,0000980479,19980811,Челюбеев Алексей Анатольевич  (RU),1,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Программное Обеспечение Процессора NM6403. Драйвер компонент ПО.""",,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980607
980608,19981012,0000980480,19980811,"Забалуев Михаил Алексеевич  (RU)
Кашкаров Виталий Александрович  (RU)
Лебедев Константин Александрович  (RU)
Челюбеев Алексей Анатольевич  (RU)",4,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Программное Обеспечение Процессора NM6403. Редактор связей.""",,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980608
980609,19981012,0000980481,19980811,"Зуев Евгений Александрович  (RU)
Кашкаров Виталий Александрович  (RU)
Котиков Сергей Валерьевич  (RU)
Челюбеев Алексей Анатольевич  (RU)
Челюбеев Иван Анатольевич  (RU)",5,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Программное Обеспечение Процессора NM6403. Ассемблер.""",,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980609
980610,19981012,0000980482,19980811,"Котиков Сергей Валерьевич  (RU)
Кротов Александр Николаевич  (RU)
Челюбеев Алексей Анатольевич  (RU)",3,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Программное Обеспечение Процессора NM6403. Генератор кода.""",,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980610
980611,19981012,0000980483,19980811,"Кашкаров Виталий Александрович  (RU)
Лебедев Константин Александрович  (RU)",2,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Программное Обеспечение Процессора NM6403. Библиотекарь объектных файлов.""",,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980611
980612,19981012,0000980484,19980811,"Челюбеев Алексей Анатольевич  (RU)
Хаменя Валерий Анатольевич  (RU)",2,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Программное Обеспечение Процессора NM6403. Эмулятор процессора на уровне инструкций.""",,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980612
980613,19981012,0000980485,19980811,"Забалуев Михаил Алексеевич  (RU)
Челюбеев Алексей Анатольевич  (RU)
Недиков Николай Николаевич  (RU)",3,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Программное Обеспечение Процессора NM6403. Библиотека времени выполнения языка Си.""",,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980613
980614,19981012,0000980486,19980811,"Челюбеев Алексей Анатольевич  (RU)
Челюбеев Иван Анатольевич  (RU)",2,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Программное Обеспечение Процессора NM6403. Символьный отладчик оконный.""",,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980614
980635,19981022,0000980509,19980826,"Артельных Игорь Валерьевич  (RU)
Псиола Виктор Вадимович  (RU)
Парахин Михаил Валерьевич  (RU)
Хаменя Валерий Анатольевич  (RU)
Хаменя Инна Дмитриевна  (RU)
Яфраков Михаил Федорович  (RU)",6,Акционерное общество Научно-технический центр «Модуль» (RU),"тел. 273-31-97, Андрущак Г.Н.","""Классификация распознавания образов""",,19990320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=980635
